Ticker,Model,Accuracy,Precision,Recall,ROC_AUC
AAPL,XGBoost,0.40940279292339943,0.37421447816325465,0.40940279292339943,0.518272801046082
AAPL,SVM,0.43968805575230707,0.3582528889712375,0.43968805575230707,0.5333942609810891
AAPL,RandomForest,0.40385135135545025,0.3626895994570555,0.40385135135545025,0.5517437319957502
AAPL,LogReg,0.40374749748429,0.37242188929991404,0.40374749748429,0.536981644946011
AAPL,Baseline_AlwaysBuy,0.19902613177831274,0.041231138720412924,0.19902613177831274,0.5
GOOGL,XGBoost,0.40572073953866233,0.3932574099268189,0.40572073953866233,0.5837821734777789
GOOGL,SVM,0.39950753323806754,0.40020893140431835,0.39950753323806754,0.5517543407067866
GOOGL,RandomForest,0.40197674657731197,0.4258579958905094,0.40197674657731197,0.585784243612697
GOOGL,LogReg,0.39704801587706007,0.4009034392560201,0.39704801587706007,0.6012606482016851
GOOGL,Baseline_AlwaysBuy,0.23379409180624702,0.05594919156503538,0.23379409180624702,0.5
MSFT,XGBoost,0.39448007199164886,0.4043298209960755,0.39448007199164886,0.5591474891562132
MSFT,SVM,0.40069538224960644,0.37358192176233573,0.40069538224960644,0.5809605567106555
MSFT,RandomForest,0.3993324743703324,0.3288975790270853,0.3993324743703324,0.5845903631011872
MSFT,LogReg,0.3776215998787218,0.4118842600288072,0.3776215998787218,0.5958012341214827
MSFT,Baseline_AlwaysBuy,0.22078690871715656,0.05317140283232725,0.22078690871715656,0.5
AAPL,Main Model (TBM),0.3962842902737447,0.4190811045844912,0.3962842902737447,0.5465412535965639
GOOGL,Main Model (TBM),0.412493955198402,0.4411477771987229,0.412493955198402,0.6024436665514233
MSFT,Main Model (TBM),0.40061301746765365,0.3383396020576276,0.40061301746765365,0.5922743781508404
