Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2010-01-04,15.566815376281738,15.635367279386827,15.504474554822151,15.571782727161896,78169752
2010-01-05,15.498265266418457,15.593889615653733,15.437414268289375,15.577496788940026,120067812
2010-01-06,15.107572555541992,15.544709831970051,15.060381777036955,15.544709831970051,158988852
2010-01-07,14.755874633789062,15.150789418181487,14.719861341944185,15.13588641986101,256315428
2010-01-08,14.952587127685547,14.983136143630398,14.631935569711716,14.703716055325774,188783028
2010-01-11,14.929986953735352,15.013191977014573,14.754386171891024,15.013191977014573,288227484
2010-01-12,14.665966033935547,14.856716860830625,14.604369176120004,14.844049547522614,193937868
2010-01-13,14.581767082214355,14.613806875472434,14.254162325826552,14.318490847811749,259604136
2010-01-14,14.650317192077637,14.758359911985238,14.475462278506445,14.502534719085673,169434396
2010-01-15,14.405670166015625,14.742464707641512,14.356987664717384,14.73699948565376,217162620
2010-01-19,14.594929695129395,14.664474500460294,14.313522831562578,14.435474703087793,172495332
2010-01-20,14.415851593017578,14.554195336642007,14.288685334809548,14.554195336642007,129897972
2010-01-21,14.47968578338623,14.57506119781935,14.213180955882182,14.491111259028546,252055692
2010-01-22,13.660796165466309,14.172196643025258,13.284509894932766,14.020689611221409,271743984
2010-01-25,13.412175178527832,13.657568753946874,13.300654930553046,13.575852611931383,176619204
2010-01-26,13.472281455993652,13.650613902535127,13.320029495588669,13.361756001752601,174045780
2010-01-27,13.464333534240723,13.602181312684024,13.295687800518586,13.443718270058136,158417424
2010-01-28,13.270354270935059,13.586037575468431,13.178704370895309,13.5236958043256,129034836
2010-01-29,13.162310600280762,13.436763356299263,13.054764805722447,13.37467052507978,165454380
2010-02-01,13.238810539245605,13.308107359630164,13.1712534275955,13.278053370654987,89941968
2010-02-02,13.191619873046875,13.286995287880925,13.104440398400275,13.286995287880925,163684152
2010-02-03,13.432540893554688,13.464332695677747,13.119839158542394,13.130767708837524,119844036
2010-02-04,13.083823204040527,13.362497413949445,13.053521232510075,13.337660663372851,134972892
2010-02-05,13.195841789245605,13.250732532352421,12.976528698805172,13.12406129548356,126113760
2010-02-08,13.249985694885254,13.461849636223144,13.201802015025418,13.225893854955336,107664228
2010-02-09,13.323753356933594,13.45017565302085,13.289725868112894,13.400749187409495,112671216
2010-02-10,13.274328231811523,13.357284317798253,13.106426469194837,13.264889507789528,106873020
2010-02-11,13.322761535644531,13.42434709318137,13.151384120805305,13.246262617911619,96303600
