,accuracy,precision,recall,roc_auc
AAPL,0.499404052443385,0.5252449133383572,0.5252449133383572,0.4979165743162374
GOOGL,0.5007945967421533,0.5229601518026565,0.5231586940015186,0.4997043470007593
MSFT,0.48251887167262614,0.5019113149847095,0.5021032504780115,0.4817254574010562
