,accuracy,precision,recall,roc_auc
AAPL,0.48659384309831183,0.49441497769503673,0.4949685534591195,0.4949685534591195
GOOGL,0.49652432969215493,0.48705715134286565,0.4879167062775296,0.4879167062775296
MSFT,0.5253227408142999,0.5337742504409171,0.5045413942752346,0.5045413942752345
