Date,Actual,Predicted,Log_Return,Close,Proba
2016-03-16,1,0,0.0198944015083464,23.707489013671875,0.4634277647283273
2016-03-17,0,1,0.0132039120054667,24.02259635925293,0.6003650172998684
2016-03-18,1,1,-0.0016058449870679,23.984050750732425,0.6042877749408503
2016-03-21,0,1,0.0011335529431365,24.011253356933597,0.5982635699131428
2016-03-22,1,1,-9.397674602798252e-05,24.008996963500977,0.5468420985227944
2016-03-23,0,1,0.0076184145615257,24.19260597229004,0.5155431367494131
2016-03-24,0,1,-0.0055436086139227,24.058862686157227,0.5286078039727737
2016-03-28,0,1,-0.0043434116626352,23.954591751098636,0.5473115843997123
2016-03-29,1,1,-0.0045529497300971,23.845775604248047,0.5367468718651782
2016-03-30,1,1,0.0233954890847016,24.41023635864257,0.5585614463527016
2016-03-31,0,1,0.0173083290705948,24.836414337158203,0.5149137981859822
2016-04-01,1,1,-0.0052162337184688,24.707199096679688,0.5687718006512351
2016-04-04,1,1,0.0091332351916874,24.93388938903809,0.5873895114550596
2016-04-05,0,1,0.010221561072888,25.19005966186523,0.5137151349744127
2016-04-06,1,1,-0.0118590790191083,24.89309310913086,0.5591596138991477
2016-04-07,0,1,0.0104181821283824,25.153789520263672,0.5782296817685455
2016-04-08,1,1,-0.0220511543875087,24.60519027709961,0.5399477725834206
2016-04-11,1,1,0.001105262785171,24.632400512695312,0.5382530264904289
2016-04-12,1,1,0.003307319917066,24.71400260925293,0.5111731008884788
2016-04-13,1,0,0.0129410377318997,25.03590583801269,0.4859507845750147
2016-04-14,1,1,0.0143836874935894,25.398616790771484,0.5899437703971071
2016-04-15,0,1,0.0005354452566845,25.412220001220703,0.5668097493520065
2016-04-18,0,1,-0.0202757413506531,24.902156829833984,0.557249700714716
2016-04-19,0,1,-0.0218109014612522,24.364898681640625,0.5332589322878396
2016-04-20,1,1,-0.0053173697461024,24.235685348510746,0.5390062676257044
2016-04-21,0,1,0.0020554191892712,24.285551071166992,0.5283793652598514
2016-04-22,0,1,-0.0108866650037537,24.02259635925293,0.550171686801844
2016-04-25,0,1,-0.0027406843308205,23.95684814453125,0.5404108168513002
2016-04-26,0,1,-0.0056936754548451,23.82083320617676,0.5565213600087694
2016-04-27,0,1,-0.0069711683061394,23.655351638793945,0.5660913234776247
2016-04-28,0,1,-0.0646219021796899,22.1750431060791,0.5870249043381675
2016-04-29,0,1,-0.0310430029284643,21.497238159179688,0.6090799534144468
2016-05-02,0,1,-0.0115607522461999,21.250144958496097,0.6197338999154897
2016-05-03,1,1,-0.0010675106944229,21.22747230529785,0.622488859497545
2016-05-04,0,1,0.0163119979768593,21.576574325561523,0.5617980700661676
2016-05-05,0,1,-0.010455500755906,21.352155685424805,0.631079399779946
2016-05-06,0,1,-0.0040670625922007,21.265491485595703,0.6300635435052926
2016-05-09,1,1,-0.0055924000373264,21.14689826965332,0.6232668686733485
2016-05-10,1,1,0.0007544687164571,21.16285896301269,0.636800017098342
2016-05-11,0,1,0.0067664260238001,21.306541442871097,0.6370392341357766
2016-05-12,0,1,-0.0097885358514931,21.0989990234375,0.6395266115068794
2016-05-13,1,1,-0.0237365681273107,20.60407829284668,0.6282056409421886
2016-05-16,1,1,0.0019906170626793,20.64513397216797,0.5928961172712123
2016-05-17,0,1,0.0364463286768369,21.411453247070312,0.5033405524964016
2016-05-18,1,1,-0.0041628450188666,21.32250595092773,0.5800981626058226
2016-05-19,0,1,0.0113797194532359,21.56653594970703,0.5082415627795189
2016-05-20,1,1,-0.0038140841097325,21.48443603515625,0.5799395472688407
2016-05-23,1,1,0.0107698023809879,21.71706962585449,0.5021532989898337
2016-05-24,1,0,0.0126277336741799,21.99304580688477,0.4893486942016879
2016-05-25,1,1,0.0151289915001475,22.32830810546875,0.5977480128444632
2016-05-26,1,1,0.0174163766028892,22.720592498779297,0.5991033426585082
2016-05-27,0,1,0.0078991206895253,22.900775909423828,0.59215995348934
2016-05-31,0,1,-0.0005981832071899,22.88708114624023,0.5811698092291869
2016-06-01,0,1,-0.0048946946824426,22.77532958984375,0.5464957486952631
2016-06-02,0,1,-0.0141188293474882,22.45602798461914,0.5688788214065502
2016-06-03,1,1,-0.007544124741903,22.287254333496097,0.572491140883291
2016-06-06,1,1,0.0020444745584911,22.33286666870117,0.5475367216621918
2016-06-07,1,1,0.0072245919681153,22.494796752929688,0.5480502636136957
2016-06-08,0,1,0.004047420127171,22.586027145385746,0.5182438591445485
2016-06-09,1,1,-0.0009090753800879,22.56550407409668,0.549041734700924
2016-06-10,0,1,0.007150795830138,22.72744369506836,0.5199606848164442
2016-06-13,0,1,-0.0082635097424312,22.54040908813477,0.5662545831474408
2016-06-14,1,1,-0.0151910444966197,22.200584411621097,0.5899692491923585
2016-06-15,0,1,0.0012319398494912,22.227951049804688,0.5442885438827549
2016-06-16,1,1,-0.0032887811347411,22.15496826171875,0.5564651886928446
2016-06-17,0,1,0.0042119125272854,22.24847984313965,0.5472870696499248
2016-06-20,0,1,-0.0230205029016758,21.742158889770508,0.5657969800735114
2016-06-21,1,1,-0.0024155504893529,21.6897029876709,0.5185989166963481
2016-06-22,0,1,0.008481253114244,21.874441146850582,0.509601648044726
2016-06-23,1,1,-0.0037603834200247,21.79233932495117,0.5617861841602098
2016-06-24,0,1,0.0057390659568366,21.91776657104492,0.526526168951987
2016-06-27,0,1,-0.02849749509687,21.30198097229004,0.5304450843814901
2016-06-28,1,1,-0.0146681718242274,20.99180030822754,0.5486495211791785
2016-06-29,1,1,0.0167004214154779,21.34531593322754,0.5179951278663446
2016-06-30,1,1,0.0086174138272927,21.530052185058597,0.5329073868013272
2016-07-01,1,0,0.012631758767331,21.80373954772949,0.4903828486624939
2016-07-05,0,1,0.0030287974434896,21.8698787689209,0.5535270117829905
2016-07-06,1,1,-0.0094300658870597,21.664613723754883,0.5819068089523026
2016-07-07,1,1,0.0056688965187064,21.787776947021484,0.5687206067464035
2016-07-08,1,1,0.0042827444706858,21.881288528442383,0.5609089508833585
2016-07-11,1,1,0.0076835553073923,22.05006217956543,0.6067532116033371
2016-07-12,1,1,0.0030979809927731,22.118478775024418,0.5756062172155949
2016-07-13,0,1,0.0045268154764786,22.21883201599121,0.5419478998283991
2016-07-14,1,1,-0.005661771658236,22.0933895111084,0.5741575755397702
2016-07-15,0,1,0.0196267348784417,22.531293869018555,0.5196976963749042
2016-07-18,1,1,-0.000101589133504,22.52900505065918,0.5858740884557019
2016-07-19,1,1,0.0105737954962634,22.76848602294922,0.5142079447676462
2016-07-20,1,1,0.0004007659750817,22.777612686157227,0.6060089371813723
2016-07-21,0,1,0.0009009483919238,22.79814338684082,0.5735047944910521
2016-07-22,0,1,-0.0053165505431295,22.6772575378418,0.5236827109933047
2016-07-25,0,1,-0.0077743420435409,22.50164031982422,0.5811677798700292
2016-07-26,0,1,-0.0134695962768327,22.200584411621097,0.5649621817294052
2016-07-27,1,1,-0.0069070844466536,22.047771453857425,0.5599005697357867
2016-07-28,1,1,0.0629406146094909,23.480073928833008,0.5154674075694551
2016-07-29,0,0,0.0134112631907826,23.79709243774414,0.48432023972047034
2016-08-01,1,1,-0.0012467162035566,23.76744270324707,0.6315847197474185
2016-08-02,0,0,0.0175027990552617,24.187101364135746,0.4582042103926547
2016-08-03,1,1,-0.0149154230268213,23.82901763916016,0.5825634369974982
2016-08-04,1,1,0.0124604774987189,24.127796173095703,0.5855524543560668
2016-08-05,1,1,0.0061587454423939,24.27685165405273,0.6024190971495283
2016-08-08,1,1,0.015092870096568,24.64603805541992,0.6173004332235754
2016-08-09,1,1,0.0082464438177891,24.850120544433597,0.528409336301284
2016-08-10,0,1,0.0040519182528595,24.95101547241211,0.5659747308379683
2016-08-11,0,1,-0.007472089753557,24.76527404785156,0.5815643742838217
2016-08-12,1,1,-0.0006482316116389,24.74922561645508,0.6080859960110634
2016-08-15,1,1,0.0023135703914578,24.80655097961425,0.5790353295982906
2016-08-16,0,1,0.0119454890172483,25.10465431213379,0.5409772438408299
2016-08-17,0,1,-0.0009140277587883,25.08171844482422,0.5829070102049572
2016-08-18,0,1,-0.0014635751158939,25.04503631591797,0.6073105765150509
2016-08-19,1,1,-0.0012826927573141,25.01293182373047,0.6019130919068727
2016-08-22,0,1,0.0025633620250614,25.077131271362305,0.5801195886230246
2016-08-23,1,1,-0.0078026314982983,24.882225036621097,0.5478236199036866
2016-08-24,0,1,0.0031281481464376,24.960182189941406,0.5435121792705426
2016-08-25,0,1,-0.0075616488770984,24.77215385437012,0.5352064939666697
2016-08-26,0,1,-0.0042667965135281,24.66668128967285,0.5556127633403178
2016-08-29,0,1,-0.0058740382369608,24.52221298217773,0.5256910337797351
2016-08-30,0,1,-0.0011230021491528,24.49468994140625,0.515520100313194
2016-08-31,1,1,-0.0077059040395726,24.30666160583496,0.5252329376633371
2016-09-01,1,1,0.0009428456729369,24.32958984375,0.5006359781456432
2016-09-02,1,0,0.0059202511276848,24.47405433654785,0.494201710081214
