,accuracy,precision,recall,roc_auc
AAPL,0.5283018867924528,0.5349127182044888,0.807909604519774,0.5063895614743072
GOOGL,0.464746772591857,0.4934210526315789,0.13966480446927373,0.5202345576290661
MSFT,0.5253227408142999,0.5252837977296182,0.9658444022770398,0.5364879822896901
