Date,Actual,Predicted,Log_Return,Close,Proba
2016-03-16,1,0,0.0004397687233668,37.2470703125,0.48174737555254826
2016-03-17,1,0,0.0090056332584709,37.58401870727539,0.49661696403462097
2016-03-18,0,0,0.0014779340542998,37.63960647583008,0.49308001892136405
2016-03-21,1,1,-0.0040557468421973,37.48725891113281,0.514610538330882
2016-03-22,0,0,0.0088957445908832,37.82222366333008,0.47860242147967036
2016-03-23,0,1,-0.0027723075428674,37.71751403808594,0.5017564730832643
2016-03-24,0,1,-0.0032814602390104,37.59394836425781,0.5086697961320438
2016-03-28,0,0,-0.0035968107979182,37.4589729309082,0.49949348710886776
2016-03-29,1,1,-0.0020688120062987,37.38155746459961,0.5114085533667458
2016-03-30,1,1,0.0166015172409714,38.00732803344727,0.5149503126335491
2016-03-31,0,1,0.0031937045753806,38.12890625,0.5002701099399726
2016-04-01,1,0,-0.0071053363827044,37.85894775390625,0.49666587674868123
2016-04-04,0,1,0.0088349595801047,38.19491195678711,0.5087119609026587
2016-04-05,0,1,-0.0059293143710943,37.96911239624024,0.5139421625716449
2016-04-06,1,1,-0.0085975677238074,37.64406967163086,0.5020683307196699
2016-04-07,0,1,0.0124458307467314,38.115509033203125,0.5078135277543057
2016-04-08,0,0,-0.0104044764559222,37.72099304199219,0.4659840968858051
2016-04-11,0,1,-0.0008555151297223,37.68873596191406,0.5180226564055193
2016-04-12,1,1,-0.0025444606219986,37.592960357666016,0.5187005134375677
2016-04-13,1,1,0.0089100671964628,37.92941284179688,0.5104332393080978
2016-04-14,1,0,0.0098814524992924,38.30606842041016,0.48981053284537196
2016-04-15,1,0,0.0044981657600271,38.478763580322266,0.4767685740147922
2016-04-18,1,1,0.0059278832607081,38.70753860473633,0.5102445665598659
2016-04-19,0,0,0.0097979552479918,39.08865737915039,0.49005359874032467
2016-04-20,0,0,-0.0146173002437025,38.52144241333008,0.45994463559193044
2016-04-21,1,0,-0.0017148501146847,38.45544052124024,0.4906802443457667
2016-04-22,0,0,0.0065341951103952,38.70753860473633,0.45488689119488596
2016-04-25,1,1,-0.0556617732273614,36.61187362670898,0.538705246949197
