,Accuracy,Precision,Recall,ROC AUC
AAPL,0.5257936507936508,0.527542372881356,0.939622641509434,0.5032841241019973
GOOGL,0.5119047619047619,0.5318840579710145,0.6847014925373134,0.5001897293195041
MSFT,0.5158730158730159,0.5236318407960199,0.8003802281368821,0.5028872095041257
