,Accuracy,Precision,Recall,ROC AUC
AAPL,0.523021726131154,0.5410048622366288,0.6307634164777022,0.5167735260372484
GOOGL,0.5014949172812437,0.5207001009761023,0.5895579268292683,0.4972444878609359
MSFT,0.4993023719354196,0.5151417525773195,0.613584036838066,0.49468086122284877
