Date,Actual,Predicted,Log_Return,Close,Proba_0,Proba_1,Proba_2
2016-03-16,1.0,1.0,0.0198944015083464,23.707489013671875,0.2409283245267218,0.2557845528882298,0.5032871151344678
2016-03-17,0.0,1.0,0.0132039120054667,24.02259635925293,0.23505022928570532,0.30208038804966464,0.46286938266463007
2016-03-18,0.0,1.0,-0.0016058449870679,23.984050750732425,0.30358237440632635,0.2582742765564613,0.4381433490372122
2016-03-21,0.0,1.0,0.0011335529431365,24.011253356933597,0.3119845795154188,0.2545187328637605,0.4334966838955304
2016-03-22,1.0,1.0,-9.397674602798252e-05,24.008996963500977,0.3171196504236669,0.25934249437758705,0.42353785892403645
2016-03-23,-1.0,1.0,0.0076184145615257,24.19260597229004,0.33493513052106616,0.25777659202006303,0.40728826628299974
2016-03-24,1.0,1.0,-0.0055436086139227,24.058862686157227,0.36283068382490213,0.26225585030660326,0.3749134751817203
2016-03-28,1.0,1.0,-0.0043434116626352,23.954591751098636,0.33197282876901585,0.286408709494545,0.38161847291231005
2016-03-29,1.0,1.0,-0.0045529497300971,23.845775604248047,0.3384022925995473,0.30012105098862574,0.3614766526865366
2016-03-30,1.0,1.0,0.0233954890847016,24.41023635864257,0.244167767318716,0.20508636653809012,0.550745854967323
2016-03-31,1.0,1.0,0.0173083290705948,24.836414337158203,0.24776845216250643,0.21826761125952884,0.533963927264739
2016-04-01,1.0,1.0,-0.0052162337184688,24.707199096679688,0.2451212408647997,0.2143380733467132,0.5405406913764226
2016-04-04,-1.0,1.0,0.0091332351916874,24.93388938903809,0.2573804463110666,0.2286364314863224,0.5139831315158367
2016-04-05,-1.0,1.0,0.010221561072888,25.19005966186523,0.277065950098078,0.24920714501523403,0.4737269123372685
2016-04-06,-1.0,1.0,-0.0118590790191083,24.89309310913086,0.26609906923311405,0.2284756564075623,0.5054252706340334
2016-04-07,-1.0,1.0,0.0104181821283824,25.153789520263672,0.298539060040702,0.22622904884453043,0.4752318948400579
2016-04-08,1.0,1.0,-0.0220511543875087,24.60519027709961,0.32351802517056216,0.3166367876427135,0.35984517601085336
2016-04-11,1.0,-1.0,0.001105262785171,24.632400512695312,0.35269172469757726,0.3120518634388414,0.33525640441300075
2016-04-12,1.0,-1.0,0.003307319917066,24.71400260925293,0.3719072024016924,0.30030747002556163,0.3277853275727459
2016-04-13,1.0,1.0,0.0129410377318997,25.03590583801269,0.3531809376398976,0.202541187180481,0.44427788635549226
2016-04-14,-1.0,1.0,0.0143836874935894,25.398616790771484,0.2679725812751871,0.18812485371066495,0.543902553838277
2016-04-15,-1.0,1.0,0.0005354452566845,25.412220001220703,0.31139629397492286,0.18831349019726173,0.5002902102398801
2016-04-18,-1.0,-1.0,-0.0202757413506531,24.902156829833984,0.3884063820808468,0.292157364083596,0.3194362650114281
2016-04-19,-1.0,-1.0,-0.0218109014612522,24.364898681640625,0.4292291757986445,0.2696339588377761,0.30113686908886983
2016-04-20,-1.0,-1.0,-0.0053173697461024,24.235685348510746,0.45331372064607955,0.24732301262507517,0.2993632592782648
2016-04-21,-1.0,-1.0,0.0020554191892712,24.285551071166992,0.4662214470114262,0.2501115592394077,0.2836669825732953
2016-04-22,-1.0,-1.0,-0.0108866650037537,24.02259635925293,0.5084679754262758,0.19753493705585357,0.2939970875178707
2016-04-25,-1.0,-1.0,-0.0027406843308205,23.95684814453125,0.49791671247925673,0.17921895613291947,0.32286433511311413
2016-04-26,-1.0,-1.0,-0.0056936754548451,23.82083320617676,0.5132415542901639,0.16428240863205837,0.32247604080306796
