,accuracy,precision,recall,roc_auc
AAPL,0.5312810327706058,0.5300207039337475,0.9660377358490566,0.5071278825995807
GOOGL,0.5084409136047666,0.522956326987682,0.871268656716418,0.48340502899515164
MSFT,0.5094339622641509,0.520253164556962,0.7813688212927756,0.49671351667549385
