,accuracy,precision,recall,roc_auc
AAPL,0.5271102284011917,0.5271102284011917,1.0,0.5
GOOGL,0.5233366434955313,0.5233366434955313,1.0,0.5
MSFT,0.519563058589871,0.519563058589871,1.0,0.5
