,accuracy,precision,recall,roc_auc
AAPL,0.5183714001986097,0.5298804780876494,0.7528301886792453,0.5053459119496856
GOOGL,0.5461767626613704,0.5415352260778128,0.960820895522388,0.5175654371454828
MSFT,0.5173783515392254,0.5205338809034907,0.9638783269961977,0.4964921780511134
